a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alsa-card-profiles 1:0.3.39-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
ant 1.10.11-1
aom 3.2.0-1
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-keyring 20210902-1
argon2 20190702-3
assimp 5.0.1-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
atool 0.39.0-7
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.5-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
awesome-terminal-fonts 1.1.0-4
babl 0.1.88-2
bandwhich 0.20.0-1
base 2-2
bash 5.1.008-1
bc 1.07.1-4
binutils 2.36.1-3
bison 3.8.2-1
blueman 2.2.2-1
bluez 5.62-1
bluez-libs 5.62-1
bluez-tools 0.2.0-5
bluez-utils 5.62-1
boost-libs 1.76.0-1
box2d 2.4.1-1
brotli 1.0.9-4
bspwm 0.9.10-1
btop 1.0.17-1
btrfs-progs 5.14.2-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.17.2-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.71-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
capitaine-cursors 4-1
cdparanoia 10.2-8
celt 0.11.3-4
check 0.15.2-2
chromaprint 1.5.0-3
chromium 95.0.4638.54-2
cifs-utils 6.14-1
cinnamon-desktop 5.0.0-1
clang 12.0.1-1
clucene 2.3.3.4-11
cmake 3.21.3-1
compiler-rt 12.0.1-2
coreutils 9.0-2
cronie 1.5.7-2
cryptsetup 2.4.1-1
curl 7.79.1-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-broker 29-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
diffutils 3.8-1
discord 0.0.16-1
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
dunst 1.7.0-1
e2fsprogs 1.46.4-1
efibootmgr 17-2
efivar 37-4
elfutils 0.185-1
enchant 2.3.1-1
entr 5.0-1
exempi 2.5.2-1
exiv2 0.27.4-2
expat 2.4.1-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
fd 8.2.1-1
ffmpeg 2:4.4-5
ffmpegthumbnailer 2.2.2-2
fftw 3.3.10-1
file 5.41-1
file-roller 3.40.0-1
filesystem 2021.05.31-1
findutils 4.8.0-1
flac 1.3.3-3
flameshot 0.10.1-1
flex 2.6.4-3
fluidsynth 2.2.3-1
fmt 8.0.1-1
fontconfig 2:2.13.94-1
freetype2 2.11.0-4
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fzf 0.27.3-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 11.1.0-1
gcc-fortran 11.1.0-1
gcc-libs 11.1.0-1
gcolor3 2.4.0-3
gcr 3.40.0-1
gd 2.3.3-3
gdb 11.1-1
gdb-common 11.1-1
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gegl 0.4.32-2
gendesk 1.0.8-1
gettext 0.21-1
ghc-libs 9.0.1-5
ghostscript 9.55.0-2
giflib 5.2.1-2
gimp 2.10.28-1
git 2.33.1-1
github-cli 2.1.0-1
glade 3.38.2-1
glew 2.2.0-2
glib-networking 1:2.70.0-1
glib2 2.70.0-2
glibc 2.33-5
glibmm 2.66.2-1
glslang 11.6.0-1
glu 9.0.2-1
gmp 6.2.1-1
gmrun 1.2w-1
gnome-backgrounds 40.1-1
gnupg 2.2.29-1
gnutls 3.7.2-2
gobject-introspection-runtime 1.70.0-2
gpgme 1.16.0-1
gping 1.2.6-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
granite 6.1.1-1
graphene 1.10.6-1
graphicsmagick 1.3.36-3
graphite 1:1.3.14-1
graphviz 2.49.2-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-2
gsettings-desktop-schemas 41.0-1
